Model,Class,Accuracy,Precision,Recall,F1-Score,Support
Decision Tree,0,0.7541330257593233,0.8715480111477071,0.8667170571932477,0.8691258211217785,3969.0
Decision Tree,1,0.7541330257593233,0.3774973711882229,0.38354700854700857,0.3804981452040275,936.0
Decision Tree,2,0.7541330257593233,0.4126984126984127,0.4046692607003891,0.4086444007858546,257.0
Decision Tree,3,0.7541330257593233,0.38461538461538464,0.5,0.4347826086956522,40.0
Random Forest,0,0.8223760092272203,0.8744239631336406,0.9561602418745276,0.9134673245877964,3969.0
Random Forest,1,0.8223760092272203,0.5524691358024691,0.38247863247863245,0.452020202020202,936.0
Random Forest,2,0.8223760092272203,0.5860215053763441,0.42412451361867703,0.49209932279909707,257.0
Random Forest,3,0.8223760092272203,0.5714285714285714,0.4,0.47058823529411764,40.0
SVM,0,0.8125720876585929,0.8484715196833077,0.9720332577475435,0.9060591827148896,3969.0
SVM,1,0.8125720876585929,0.5387931034482759,0.2670940170940171,0.35714285714285715,936.0
SVM,2,0.8125720876585929,0.6273291925465838,0.39299610894941633,0.48325358851674644,257.0
SVM,3,0.8125720876585929,0.6,0.45,0.5142857142857143,40.0
XGBoost,0,0.8239138792772011,0.8834815161441273,0.9513731418493323,0.9161712968579401,3969.0
XGBoost,1,0.8239138792772011,0.5501432664756447,0.41025641025641024,0.4700122399020808,936.0
XGBoost,2,0.8239138792772011,0.5505050505050505,0.42412451361867703,0.47912087912087914,257.0
XGBoost,3,0.8239138792772011,0.53125,0.425,0.47222222222222215,40.0
