create_date,sido_cd,max_ta,max_wbtemp,max_tafeel,max_ta_cluster,max_wbtemp_cluster,max_tafeel_cluster
2014-05-30,11,31.8,19.4,28.83,2,3,2
2014-05-31,31,34.0,21.4,31.1,1,3,2
2014-05-31,35,34.6,21.9,30.76,1,3,2
2014-05-31,26,32.3,20.6,29.46,2,3,2
2014-05-31,38,34.9,23.1,31.04,1,3,2
2014-06-01,22,32.3,19.7,29.25,2,3,2
2014-06-01,37,34.4,21.9,30.75,1,3,2
2014-06-01,36,27.0,21.4,27.07,2,3,2
2014-06-01,11,29.5,21.1,27.98,2,3,2
2014-06-01,32,35.1,22.6,30.68,1,3,2
2014-06-01,26,32.1,22.2,30.38,2,3,2
2014-06-02,22,25.8,17.6,24.62,2,3,2
2014-06-05,33,24.5,17.9,24.16,2,3,2
2014-06-05,38,23.7,20.0,25.04,2,3,2
2014-06-06,31,32.1,19.9,29.33,1,3,2
2014-06-06,33,29.5,19.2,27.27,2,3,2
2014-06-06,22,26.6,18.4,25.48,2,3,2
2014-06-06,36,26.9,21.0,26.59,2,3,2
2014-06-07,36,25.9,21.7,26.6,2,3,2
2014-06-07,38,28.3,21.0,27.77,2,3,2
2014-06-08,36,25.1,21.0,25.97,2,3,2
2014-06-09,11,28.0,21.2,27.85,2,3,2
2014-06-11,33,26.3,19.1,25.56,2,3,2
2014-06-11,36,26.8,21.7,27.0,2,3,2
2014-06-13,22,28.2,18.9,26.28,2,3,2
2014-06-13,34,25.8,20.4,26.01,2,3,2
2014-06-13,38,27.3,20.8,27.1,2,3,2
2014-06-14,31,29.4,20.7,27.96,2,3,2
2014-06-14,22,31.3,18.8,27.46,2,3,2
2014-06-14,37,28.7,22.0,28.71,2,3,2
2014-06-14,34,28.6,20.4,27.19,2,3,2
2014-06-14,38,31.2,19.9,28.49,2,3,2
2014-06-15,22,31.7,18.1,27.97,2,3,2
2014-06-15,11,28.3,20.6,27.68,2,3,2
2014-06-15,34,28.0,21.3,27.31,2,3,2
2014-06-15,32,30.7,20.7,28.66,2,3,2
2014-06-15,38,31.6,20.4,28.32,2,3,2
2014-06-16,35,30.0,21.8,27.98,2,3,2
2014-06-16,37,31.2,20.5,28.6,2,3,2
2014-06-16,32,31.3,21.0,29.19,2,3,2
2014-06-16,38,33.4,20.7,29.51,1,3,2
2014-06-17,31,30.5,21.3,29.22,2,3,2
2014-06-17,23,28.5,23.2,28.51,2,3,2
2014-06-18,36,28.1,21.2,27.66,2,3,2
2014-06-18,34,29.4,21.4,28.27,2,3,2
2014-06-18,38,30.2,20.7,27.93,2,3,2
2014-06-19,37,30.4,22.5,29.73,2,3,2
2014-06-19,25,27.5,22.2,28.06,2,3,2
2014-06-19,38,31.7,22.1,29.34,2,3,2
2014-06-20,38,27.8,23.3,28.9,2,3,2
2014-06-21,38,24.1,19.8,24.57,2,3,2
2014-06-22,25,29.3,23.1,29.13,2,3,2
2014-06-25,31,29.3,21.9,28.83,2,3,2
2014-06-25,25,28.2,22.2,28.56,2,3,2
2014-06-26,33,31.0,21.1,29.15,2,3,2
2014-06-26,22,32.9,21.2,29.94,1,3,2
2014-06-26,38,30.1,23.1,29.79,2,3,2
2014-06-27,33,31.2,21.0,29.11,2,3,2
2014-06-27,35,31.2,23.2,29.9,2,3,2
2014-06-27,37,32.4,21.9,29.8,1,3,2
2014-06-27,21,26.3,22.1,27.54,2,3,2
2014-06-28,37,30.0,23.1,29.29,2,3,2
2014-06-28,32,28.7,22.1,27.98,2,3,2
2014-06-28,21,29.6,23.1,29.24,2,3,2
2014-06-28,38,32.4,22.3,30.45,2,3,2
2014-06-29,31,29.0,21.5,28.56,2,3,2
2014-06-29,37,29.0,20.7,27.98,2,3,2
2014-06-29,36,29.1,22.8,28.85,2,3,2
2014-06-30,31,30.2,23.1,29.79,2,3,2
2014-06-30,11,30.0,22.5,29.54,2,3,2
2014-06-30,32,31.5,22.8,29.99,2,3,2
2014-06-30,25,30.1,23.1,29.82,2,3,2
2014-06-30,38,30.7,22.9,30.03,2,3,2
2014-07-01,31,32.0,23.6,31.3,1,3,1
2014-07-01,33,33.0,22.3,30.87,1,3,2
2014-07-01,37,32.7,22.4,30.89,1,3,2
2014-07-01,11,31.2,23.8,30.9,2,3,2
2014-07-01,34,33.3,23.3,30.85,1,3,2
2014-07-01,39,27.6,22.1,27.57,2,3,2
2014-07-01,32,32.4,23.9,31.11,2,3,2
2014-07-01,25,32.2,23.9,31.3,2,3,2
2014-07-01,38,31.7,24.2,30.8,1,3,2
2014-07-02,35,28.9,22.0,28.17,2,3,2
2014-07-02,37,28.8,23.0,29.1,2,3,2
2014-07-02,11,31.1,23.8,30.69,2,3,2
2014-07-02,32,30.4,23.8,30.47,2,3,2
2014-07-04,33,31.2,22.3,30.11,2,3,2
2014-07-04,29,30.1,23.5,30.19,2,3,2
2014-07-05,31,29.1,22.7,29.19,2,3,2
2014-07-05,32,30.4,23.8,29.63,2,3,2
2014-07-05,26,26.7,20.5,26.82,2,3,2
2014-07-05,38,28.7,23.3,28.33,2,3,2
2014-07-06,31,31.9,22.9,30.13,2,3,2
2014-07-06,25,24.2,21.5,26.08,2,3,2
2014-07-07,33,32.1,23.2,30.81,2,3,2
2014-07-07,11,33.6,24.3,32.15,1,3,1
2014-07-07,34,31.4,24.1,30.3,2,3,2
2014-07-07,32,34.8,23.6,32.26,1,3,1
2014-07-07,25,29.3,24.3,30.25,2,3,2
2014-07-08,31,30.5,24.8,30.88,2,3,2
2014-07-08,35,31.9,27.6,32.44,2,1,1
2014-07-08,36,29.7,27.9,32.32,2,1,1
2014-07-08,32,32.2,24.0,31.29,2,3,2
2014-07-09,31,32.6,26.8,33.05,2,1,1
2014-07-09,35,31.6,27.4,32.27,2,1,1
2014-07-09,37,31.2,26.2,31.44,2,1,2
2014-07-09,25,29.3,26.6,31.45,2,1,2
2014-07-09,21,28.3,25.4,30.27,2,1,2
2014-07-09,23,33.3,28.3,34.3,1,1,1
2014-07-10,31,33.7,25.4,32.66,1,1,1
2014-07-10,22,35.5,25.3,33.57,1,1,1
2014-07-10,35,31.4,26.7,32.37,2,1,1
2014-07-10,37,35.1,26.1,33.55,1,1,1
2014-07-10,29,32.4,27.0,33.3,2,1,1
2014-07-10,36,32.7,26.7,33.24,1,1,1
2014-07-10,11,33.4,24.3,31.7,1,3,1
2014-07-10,34,31.9,26.2,32.04,2,1,1
2014-07-10,21,31.5,26.3,32.47,2,1,1
2014-07-10,26,30.4,25.2,31.11,2,1,2
2014-07-10,38,35.1,26.6,34.34,1,1,1
2014-07-11,31,34.3,23.3,30.95,1,3,2
2014-07-11,22,34.1,20.8,30.76,1,3,2
2014-07-11,36,31.8,24.5,31.5,2,3,1
2014-07-11,11,32.6,23.6,30.41,2,3,2
2014-07-11,21,31.5,24.4,31.07,2,1,1
2014-07-11,26,33.2,24.4,30.72,1,3,2
2014-07-11,38,33.8,23.5,31.45,1,3,1
2014-07-12,31,28.9,23.2,29.18,2,3,2
2014-07-12,11,29.4,23.1,29.58,2,3,2
2014-07-12,25,27.9,23.5,28.76,2,3,2
2014-07-13,31,30.5,23.3,29.73,2,3,2
2014-07-13,36,27.1,24.4,28.96,2,3,2
2014-07-13,38,29.7,23.6,29.97,2,3,2
2014-07-14,31,31.7,24.0,31.01,2,3,2
2014-07-14,37,33.2,24.3,31.6,1,3,2
2014-07-14,36,30.8,25.3,31.49,2,1,1
2014-07-14,32,33.0,22.5,30.94,1,3,2
2014-07-14,26,31.9,23.8,31.3,2,3,2
2014-07-15,31,31.5,23.6,30.71,2,3,2
2014-07-15,32,32.0,23.7,30.89,2,3,2
2014-07-15,25,28.4,24.4,29.83,2,3,2
2014-07-15,26,28.1,23.7,29.28,2,3,2
2014-07-15,38,28.5,23.7,29.53,2,3,2
2014-07-16,31,30.2,23.2,29.83,2,3,2
2014-07-16,35,29.3,25.4,30.58,2,1,2
2014-07-16,32,30.7,24.6,30.32,2,3,2
2014-07-16,38,32.1,24.9,31.89,2,1,1
