Model,Class,Accuracy,Precision,Recall,F1-Score,Support
Decision Tree,0,0.7804690503652442,0.8714465408805031,0.872763920382968,0.8721047331319235,3969.0
Decision Tree,1,0.7804690503652442,0.7123287671232876,0.6816479400749064,0.6966507177033492,534.0
Decision Tree,2,0.7804690503652442,0.3124042879019908,0.31627906976744186,0.31432973805855163,645.0
Decision Tree,3,0.7804690503652442,0.4444444444444444,0.5185185185185185,0.4786324786324786,54.0
Random Forest,0,0.842560553633218,0.8717007114987376,0.9569160997732427,0.9123228441028105,3969.0
Random Forest,1,0.842560553633218,0.7436762225969646,0.8258426966292135,0.782608695652174,534.0
Random Forest,2,0.842560553633218,0.5429864253393665,0.18604651162790697,0.27713625866050806,645.0
Random Forest,3,0.842560553633218,0.7741935483870968,0.4444444444444444,0.5647058823529412,54.0
SVM,0,0.8323721645520954,0.8461034708578913,0.9765684051398337,0.9066666666666666,3969.0
SVM,1,0.8323721645520954,0.7327731092436974,0.8164794007490637,0.7723649247121346,534.0
SVM,2,0.8323721645520954,1.0,0.0,0.0,645.0
SVM,3,0.8323721645520954,0.6923076923076923,0.3333333333333333,0.45,54.0
XGBoost,0,0.8410226835832372,0.8793911007025761,0.9460821365583271,0.9115183881539022,3969.0
XGBoost,1,0.8410226835832372,0.7407407407407407,0.8239700374531835,0.7801418439716312,534.0
XGBoost,2,0.8410226835832372,0.52,0.24186046511627907,0.3301587301587302,645.0
XGBoost,3,0.8410226835832372,0.631578947368421,0.4444444444444444,0.5217391304347826,54.0
