Model,Class,Accuracy,Precision,Recall,F1-Score,Support
Decision Tree,0,0.7868127643214149,0.8737692501893461,0.872008062484253,0.8728877679697352,3969.0
Decision Tree,1,0.7868127643214149,0.6338797814207651,0.6244952893674294,0.6291525423728813,743.0
Decision Tree,2,0.7868127643214149,0.47126436781609193,0.4823529411764706,0.4767441860465116,85.0
Decision Tree,3,0.7868127643214149,0.3009478672985782,0.3135802469135803,0.30713422007255137,405.0
Random Forest,0,0.8496732026143791,0.8758955396348509,0.9549004787100025,0.9136933461909352,3969.0
Random Forest,1,0.8496732026143791,0.7314439946018894,0.7294751009421265,0.7304582210242587,743.0
Random Forest,2,0.8496732026143791,0.7735849056603774,0.4823529411764706,0.5942028985507246,85.0
Random Forest,3,0.8496732026143791,0.5802469135802469,0.11604938271604938,0.1934156378600823,405.0
SVM,0,0.8410226835832372,0.864256480218281,0.9576719576719577,0.9085693797059878,3969.0
SVM,1,0.8410226835832372,0.7073490813648294,0.7254374158815612,0.7162790697674419,743.0
SVM,2,0.8410226835832372,0.8333333333333334,0.4117647058823529,0.5511811023622047,85.0
SVM,3,0.8410226835832372,1.0,0.0,0.0,405.0
XGBoost,0,0.8527489427143407,0.8863743517208864,0.9473418997228521,0.9158445987090488,3969.0
XGBoost,1,0.8527489427143407,0.7293035479632063,0.746971736204576,0.7380319148936169,743.0
XGBoost,2,0.8527489427143407,0.6935483870967742,0.5058823529411764,0.5850340136054423,85.0
XGBoost,3,0.8527489427143407,0.5693430656934306,0.1925925925925926,0.2878228782287823,405.0
