Model,sido_name,sido_cd,MSE,MAE,R2
RandomForest,경기도,31,5.674164379084968,1.1692483660130717,0.7842962931295925
RandomForest,인천광역시,23,0.9536156862745098,0.39810457516339864,0.5326748115893486
RandomForest,경상남도,38,2.1700503267973854,0.748954248366013,0.6091512626928086
RandomForest,울산광역시,26,0.3560114379084967,0.28356209150326794,0.28453872899362576
RandomForest,광주광역시,24,0.5855647058823529,0.35986928104575167,0.42040848616822235
RandomForest,대전광역시,25,0.32128235294117646,0.30620915032679735,-0.0007849101796404412
RandomForest,강원특별자치도,32,0.748990522875817,0.49310457516339873,0.36022188834154356
RandomForest,제주특별자치도,39,1.2287098039215685,0.4955555555555556,0.31441893979119995
RandomForest,부산광역시,21,0.9295401960784314,0.4072222222222222,0.5575809559148694
RandomForest,서울특별시,11,2.524556209150327,0.6683006535947712,0.6376952683689422
RandomForest,전라남도,36,2.4568833333333333,0.7718627450980392,0.5853867404629267
RandomForest,세종특별자치시,29,0.10983725490196078,0.15862745098039216,0.25408172323759803
RandomForest,경상북도,37,1.7452343137254902,0.6611437908496732,0.545894265349506
RandomForest,전북특별자치도,35,1.038004248366013,0.545326797385621,0.628553433588749
RandomForest,대구광역시,22,0.5198320261437909,0.373202614379085,0.14533305941845764
RandomForest,충청북도,33,0.9579235294117646,0.4768627450980393,0.5267918712311856
RandomForest,충청남도,34,1.5592679738562092,0.6188235294117648,0.6234613464276135
XGBoost,경기도,31,5.193508628785405,1.0784718289361122,0.8025684509561009
XGBoost,인천광역시,23,0.9448294829910324,0.39843894602372115,0.5369805441438396
XGBoost,경상남도,38,2.0257450590189783,0.7265056984010609,0.6351421491720202
XGBoost,울산광역시,26,0.3798898597607577,0.27679623097793454,0.23655126502783042
XGBoost,광주광역시,24,0.6141256432569878,0.3715913148511854,0.39213889142808944
XGBoost,대전광역시,25,0.3894731868363256,0.3084116047866463,-0.21319731612129655
XGBoost,강원특별자치도,32,0.8087290310722282,0.4811160117072005,0.30919401976391936
XGBoost,제주특별자치도,39,1.2216034963437898,0.4912164976942662,0.3183840338010254
XGBoost,부산광역시,21,0.9582997310999596,0.3920560072539861,0.5438927194660997
XGBoost,서울특별시,11,2.4479234674834074,0.6430169717911661,0.6486930052397445
XGBoost,전라남도,36,2.4482645540320904,0.7916094199160808,0.5868412092734057
XGBoost,세종특별자치시,29,0.22319620369435234,0.19313719049187414,-0.5157528089008103
XGBoost,경상북도,37,1.6842192398992957,0.6505436838267438,0.5617702395420213
XGBoost,전북특별자치도,35,1.0657618925665047,0.5161782899602115,0.6186204476244159
XGBoost,대구광역시,22,0.37340426227008927,0.2919424062530477,0.3860780744851441
XGBoost,충청북도,33,1.09379825396899,0.49071161839137084,0.4596706217988997
XGBoost,충청남도,34,1.775149078016917,0.6323876028524383,0.5713294604046091
